;Salmão Spicy;;;;;Salmão Empanado;;;;;Batayaki;;;;;;;;;;;;;;;;;
;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;;;;;;;;;;;;;
;Salmão;500;  ;  ;;Salmão Descongelado;50;  ;  ;;Shari;90; R$3,88 ; R$0,35 ;;;;;;;;;;;;;;
;LKK Chilli Garlic;40; R$154,89 ; R$6,20 ;;Farinha ;5; R$4,58 ; R$0,02 ;;Alga Gold;1000; R$0,20 ; R$0,20 ;;;;;;;;;;;;;;
;Maionese;40; R$14,83 ; R$0,59 ;;Ovo;5; R$10,00 ; R$0,05 ;;Cream Cheese;20; R$33,92 ; R$0,68 ;;;;;;;;;;;;;;
;Hondashi;6; R$92,91 ; R$0,56 ;;Panko Alpha;5; R$17,01 ; R$0,09 ;;Salmão Filé;80; R$90,00 ; R$7,20 ;;;;;;;;;;;;;;
;Óleo de Gergelim;6; R$68,31 ; R$0,41 ;;;;  ;  ;;Manteiga com Sal;10; R$29,80 ; R$0,30 ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;Peso Total;592;; R$7,76 ;;Peso Total;65;; R$0,16 ;;Peso Total;60;; R$8,72 ;;;;;;;;;;;;;;
;PESO DEPOIS DE PRONTO;592;PREÇO/KG ?; R$13,10 ;;PESO DEPOIS DE PRONTO;50;PREÇO/KG ?; R$3,16 ;;PESO DEPOIS DE PRONTO;60;PREÇO/KG ?; R$145,35 ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ají;;;;;Molho Imperial;;;;;Lula Empanada;;;;;;;;;;;;;;;;;
;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;;;;;;;;;;;;;
;Dedo de Moça;60; R$21,99 ; R$1,32 ;;Maionese;100; R$14,83 ; R$1,48 ;;Lula Anel;30; R$31,90 ; R$0,96 ;;;;;;;;;;;;;;
;Ovo;60; R$10,00 ; R$0,60 ;;Molho de Ostra;50; R$60,00 ; R$3,00 ;;Farinha ;10; R$4,58 ; R$0,05 ;;;;;;;;;;;;;;
